Customer type,Gender,Product line,Quantity,Payment,Rating
Member,Female,Health and beauty,7,Ewallet,9.1
Normal,Female,Electronic accessories,5,Cash,9.6
Normal,Male,Home and lifestyle,7,Credit card,7.4
Member,Male,Health and beauty,8,Ewallet,8.4
Normal,Male,Sports and travel,7,Ewallet,5.3
Normal,Male,Electronic accessories,7,Ewallet,4.1
Member,Female,Electronic accessories,6,Ewallet,5.8
Normal,Female,Home and lifestyle,10,Ewallet,8
Member,Female,Health and beauty,2,Credit card,7.2
Member,Female,Food and beverages,3,Credit card,5.9
Member,Female,Fashion accessories,4,Ewallet,4.5
Member,Male,Electronic accessories,4,Cash,6.8
Normal,Female,Electronic accessories,5,Ewallet,7.1
Normal,Male,Food and beverages,10,Ewallet,8.2
Normal,Female,Health and beauty,10,Cash,5.7
Member,Female,Sports and travel,6,Cash,4.5
Member,Female,Health and beauty,7,Credit card,4.6
Normal,Male,Sports and travel,6,Credit card,6.9
Normal,Male,Food and beverages,3,Credit card,8.6
Normal,Female,Home and lifestyle,2,Ewallet,4.4
Member,Male,Electronic accessories,5,Ewallet,4.8
Normal,Male,Health and beauty,3,Ewallet,5.1
Normal,Male,Home and lifestyle,2,Credit card,4.4
Normal,Male,Electronic accessories,5,Ewallet,9.9
Member,Male,Sports and travel,3,Ewallet,6
Member,Female,Home and lifestyle,8,Credit card,8.5
Normal,Male,Fashion accessories,1,Cash,6.7
Normal,Female,Fashion accessories,2,Credit card,7.7
Normal,Female,Food and beverages,5,Cash,9.6
Normal,Male,Health and beauty,9,Cash,7.4
Normal,Male,Fashion accessories,5,Credit card,4.8
Member,Male,Sports and travel,9,Cash,4.5
Normal,Male,Sports and travel,8,Cash,5.1
Normal,Male,Health and beauty,2,Credit card,5.1
Member,Female,Food and beverages,4,Ewallet,7.5
Member,Female,Sports and travel,1,Ewallet,6.8
Member,Male,Sports and travel,5,Ewallet,7
Normal,Female,Electronic accessories,9,Ewallet,4.7
Normal,Female,Health and beauty,8,Ewallet,7.6
Member,Male,Home and lifestyle,8,Cash,7.7
Member,Female,Home and lifestyle,1,Ewallet,7.9
Member,Male,Home and lifestyle,2,Cash,6.3
Member,Female,Sports and travel,6,Cash,5.6
Member,Female,Food and beverages,8,Cash,7.6
Member,Male,Health and beauty,2,Cash,7.2
Member,Female,Electronic accessories,4,Cash,9.5
Member,Male,Health and beauty,9,Credit card,8.4
